onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.104	0.25	Control	1.0	0.0	Yes	2.946	0.004	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.354	3.85	Control	1.0	0.0	Yes	2.946	0.0	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.202	0.4	Control	1.0	0.002	Yes	2.946	-0.002	3.0	GoodResponse	0	0.197	14.399	0	0	Target	Neutral	True
15.399	0.3	Control	1.0	0.002	Yes	2.946	-0.002	3.0	GoodResponse	0	0.197	n/a	0	0	ButtonPress	Neutral	True
15.602	0.3	Control	1.0	n/a	Yes	2.946	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.902	1.45	Control	1.0	n/a	Yes	2.946	n/a	5.0	GoodResponse	0	0.027	14.929	0	0	Feedback	Neutral	True
17.352	2.946	Control	1.0	n/a	Yes	2.946	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	True
20.317	0.25	Lose2	1.0	0.0	Yes	2.783	0.017	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.567	4.0	Lose2	1.0	0.0	Yes	2.783	0.0	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.566	0.39	Lose2	1.0	0.001	Yes	2.783	-0.001	3.0	GoodResponse	0	0.256	23.822	0	1	Target	AvoidedLoss	True
24.822	0.3	Lose2	1.0	0.001	Yes	2.783	-0.001	3.0	GoodResponse	0	0.256	n/a	0	1	ButtonPress	AvoidedLoss	True
24.966	0.31	Lose2	1.0	n/a	Yes	2.783	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.265	1.45	Lose2	1.0	n/a	Yes	2.783	n/a	5.0	GoodResponse	0	0.029	24.294	0	1	Feedback	AvoidedLoss	True
26.715	2.783	Lose2	1.0	n/a	Yes	2.783	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.531	0.25	Control	1.0	0.0	Yes	2.569	0.031	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.781	4.1	Control	1.0	0.0	Yes	2.569	0.0	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
